Nr,Name,country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,On_JTR,Link_JTR,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
41,Máire Geoghegan-Quinn,Ireland,ALDE,Fiana Fail ,European Commission,"Commisssioner for Research, Innovation and Science",Member of the High Level Group on Industrial Innovation for Competitiveness 124C ,Academia,Think tank,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PdF,,No,,,,"provided that Ms GEOGHEGAN-QUINN fulfilled her obligations under Articles 245(2) and 339 TFEU and the Code of Conduct for Commissioners, and in particular that she proceeded in all circumstances with integrity and discretion, protected the collective responsibility and confidentiality in respect of matters covered by the Commission during her terms of office, and refrained from lobbying the Commission and/or its departments on behalf of the High Level Group on Industrial Innovation for Competitiveness 124C and/or the interests of the entities of that company involved in the High Level Group within eighteen months of leaving office and that she ensured that none of the participants in the High Level Group on Industrial Innovation for Competitiveness 124C would unduly benefit from the knowledge and experience Ms GEOGHEGAN-QUINN gained during her term of office. ",unpaid,,,15/4/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1944/response/6992/attach/2/annexes.Democratic Partyf
42,Máire Geoghegan-Quinn,Ireland,ALDE,Fiana Fail ,European Commission,"Commissioner for Research, Innovation and Science",Co-Chairwoman of the Review Team on Gender Equality in Irish Higher Education Institutions ,Public Service,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2132-EN-F1-1.PDF,,No,,,,,“the role is non-remunerated but...”,,,24/6/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2132-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2135/response/7621/attach/3/annexes.Democratic Partyf
43,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Member of the Advisory Board of the European Policy Centre ,Academia,Think tank,Yes,8,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Andor%2C_L%C3%A1szl%C3%B3-9469.jpg/330px-Andor%2C_L%C3%A1szl%C3%B3-9469.jpg,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=116042012787-45,,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
44,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Member of the Advisory Board of the DIKTYO-network ,Academia,Think tank,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
45,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Member of the Advisory Board of RAND Europe ,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=055428317246-43,,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
46,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Education/research activity at the Hertie School of Governance ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,,paid  ,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
47,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Member of the Board of Trustees of Friends of Europe ,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=99436366768-45,,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
48,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Scientific Advisory Council of the Institute of Political History (Politikatörténeti Intézet) ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
49,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Teaching activity at the Institute for European Studies at the Université Libre de Bruxelles ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,,paid  ,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
50,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Member of the Board of Directors for ECAS ,NGO,NGO,Yes,,http://ecas.org/about-us/board-of-directors/,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=47003483702-10,,,?,?,,,?,?,?,?
51,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Director of ArcelorMittal,Private Sector,Company and Group,Yes,7,http://www.asktheeu.org/en/request/karel_de_gucht_arcelormittal#incoming-9775,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Karel-de-gucht.jpg/330px-Karel-de-gucht.jpg,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=23527541824-60,,,No authorisation required as 18 month authorisation and lobby ban has now ended,paid  ,,,-,?,http://www.asktheeu.org/en/request/karel_de_gucht_arcelormittal#incoming-9775,http://corporateeurope.org/revolvingdoorwatch/cases/karel-de-gucht
52,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Member of the European Advisory Board of the leading equity provider CVC Capital Partners ,Private Sector,Company and Group,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,,No,,,,"provided that Mr DE GUCHT protected the collective responsibility and confidentiality in respect of matters covered by the Commission during his term of office, and refrained from lobbying the Commission and/or its departments on behalf that company within eighteen months of leaving office. ",“The envisaged activity will be non-remunerated but that Mr De Gucht may have access to … [text not published]”,,,15/4/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/5/KdG%202.Democratic Partyf  + http://www.asktheeu.org/en/request/1945/response/7351/attach/2/KdG%202.Democratic Partyf
53,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Member of the Management Board of Proximus,Private Sector,Company and Group,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=537380918401-76,,,"provided that Mr DE GUCHT refrained from lobbying the Commission and/or its departments for eighteen months after leaving the Commission on behalf of Belgacom, and that he protected collective responsibility and confidentiality in respect of matters covered by the Commission during his two terms of office; ",paid  ,,,18/3/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/3/KdG%201.Democratic Partyf + http://www.asktheeu.org/en/request/1877/response/6915/attach/3/KdG%201.Democratic Partyf
54,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Member of the Management Board of Merit Capital NV,Private Sector,Company and Group,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,,No,,,,,unpaid (but already a shareholder),,,18/3/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/3/KdG%201.Democratic Partyf + http://www.asktheeu.org/en/request/1877/response/6915/attach/3/KdG%201.Democratic Partyf
55,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,President of the Institute of European Studies at the Vrije Universiteit Brussel ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=996789025151-11,,,,unpaid,,,18/3/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1877/response/6915/attach/3/KdG%201.Democratic Partyf
56,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Professor of European Law at the Vrije Universiteit Brussel ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PdF,,No,,,,providing Mr DE GUCHT protected collective responsibility and confidentiality in respect of matters covered by the Commission during his term of office ,paid  ,,,18/3/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/3/KdG%201.Democratic Partyf
57,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,President of the Board of the Brussels Institute of European Studies,Academia,University,No,,http://www.ies.be/about/management,,No,,,,,,,,,,http://www.ies.be/staff/management,
58,José Manuel Barroso,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Non-Executive Chairman of Goldman Sachs International,Private Sector,Company and Group,Yes,23,http://www.goldmansachs.com/media-relations/press-releases/current/jose-manuel-barroso-appointed.html,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Jose_Manuel_Barroso%2C_EU-kommissionens_ordforande%2C_under_ett_mote_i_Folketinget_2006-05-19_%281%29.jpg/330px-Jose_Manuel_Barroso%2C_EU-kommissionens_ordforande%2C_under_ett_mote_i_Folketinget_2006-05-19_%281%29.jpg,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=701266814986-18,,,No authorisation required as 18 month authorisation and lobby ban has now ended,paid  ,,,8/7/2016,no,http://www.goldmansachs.com/media-relations/press-releases/current/jose-manuel-barroso-appointed.html,
59,José Manuel Barroso,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Chairman of the UEFA Foundation for Children ,NGO,NGO,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,,unpaid,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf
