Nr ,Name,Country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie ,category_bar,Brussels_lobbying,Number of Activities,Link_source,pre_mandate_activity orginal,pre_mandate_activity,Category pie,category_bar2,Link_DOI,Link_profile,party2,Description ,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
42,Máire Geoghegan-Quinn,Ireland,ALDE,Fiana Fail ,European Commission,"Commissioner for Research, Innovation and Science","Co chair, at the invitation of the Irish authorities, a review team on gender equality in Irish higher education institutions ",Elected office & public sector,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2132-EN-F1-1.PdF,,,,,,,,,“the role is non-remunerated but...”,,,24/6/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2132-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2135/response/7621/attach/3/annexes.Democratic Partyf
43,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Advisory Board of the European Policy Centre ,Academia,Think tanks,Yes,8,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Andor%2C_L%C3%A1szl%C3%B3-9469.jpg/330px-Andor%2C_L%C3%A1szl%C3%B3-9469.jpg,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
44,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Advisory Board of the DIKTYO-network ,Academia,Think tanks,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
45,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Board of Advisors of RAND Europe ,Academia,Think tanks,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
46,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Education/research activity at the Hertie School of Governance ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,,paid  ,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
47,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",member of the Board of Trustees of Friends of Europe ,Academia,Think tanks,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
48,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Scientific Advisory Council of the Institute of Political History (Politikatörténeti Intézet) ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,"provided that Mr ANDOR abstained from any lobbying of the Commission and its departments, should any of the aforementioned organisations decide to get involved in specific projects relating to his former portfolio and ask for financing from the European Union; ",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
49,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Teaching activity at the Institute for European Studies at the Université Libre de Bruxelles ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,,paid  ,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1693/response/6136/attach/3/documents.Democratic Partyf
50,László Andor,Hungary,S&D,Hungarian Socialist Party,European Commission,"Commissioner for Employment, Social Affairs and Inclusion",Member Board of Directors for ECAS ,NGOs,NGOs,Yes,,?,,,,,,,,?,?,,,?,?,?,?
51,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Director of ArcelorMittal,Private Sector,Companies and Groups,Yes,7,http://www.asktheeu.org/en/request/karel_de_gucht_arcelormittal#incoming-9775,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Karel-de-gucht.jpg/330px-Karel-de-gucht.jpg,,No authorisation required as 18 month authorisation and lobby ban has now ended,paid  ,,,-0,?,http://www.asktheeu.org/en/request/karel_de_gucht_arcelormittal#incoming-9775,http://corporateeurope.org/revolvingdoorwatch/cases/karel-de-gucht
52,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Member of the European Advisory Board of the leading equity provider CVC Capital Partners ,Private Sector,Companies and Groups,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PdF,,,,,,,,"provided that Mr DE GUCHT protected the collective responsibility and confidentiality in respect of matters covered by the Commission during his term of office, and refrained from lobbying the Commission and/or its departments on behalf that company within eighteen months of leaving office. ",“The envisaged activity will be non-remunerated but that Mr De Gucht may have access to … [text not published]”,,,15/4/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/5/KdG%202.Democratic Partyf  + http://www.asktheeu.org/en/request/1945/response/7351/attach/2/KdG%202.Democratic Partyf
53,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Member of the Management Board of Belgacom (now known as Proximus),Private Sector,Companies and Groups,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PdF,,,,,,,,"provided that Mr DE GUCHT refrained from lobbying the Commission and/or its departments for eighteen months after leaving the Commission on behalf of Belgacom, and that he protected collective responsibility and confidentiality in respect of matters covered by the Commission during his two terms of office; ",paid  ,,,18/3/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/3/KdG%201.Democratic Partyf + http://www.asktheeu.org/en/request/1877/response/6915/attach/3/KdG%201.Democratic Partyf
54,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Member of the Management Board of Merit Capital NV,Private Sector,Companies and Groups,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PdF,,,,,,,,,unpaid (but already a shareholder),,,18/3/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/3/KdG%201.Democratic Partyf + http://www.asktheeu.org/en/request/1877/response/6915/attach/3/KdG%201.Democratic Partyf
55,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,President of the Institute of European Studies at the Vrije Universiteit Brussel ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PdF,,,,,,,,,unpaid,,,18/3/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1877/response/6915/attach/3/KdG%201.Democratic Partyf
56,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,Professor of European Law at the Vrije Universiteit Brussel ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PdF,,,,,,,,providing Mr DE GUCHT protected collective responsibility and confidentiality in respect of matters covered by the Commission during his term of office ,paid  ,,,18/3/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/3/KdG%201.Democratic Partyf
57,Karel de Gucht,Belgium,ALDE,Open Flemish Liberals and Democrats,European Commission,Commissioner for Trade,President of the board of the Brussels Institute of European Studies,Academia,Academic,No,,,,,,,,,,,,,,,,http://www.ies.be/staff/management,
58,José Manuel Barroso,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Non-executive chairman of Goldman Sachs International + advisor to Goldman Sachs,Private Sector,Companies and Groups,Yes,23,http://www.goldmansachs.com/media-relations/press-releases/current/jose-manuel-barroso-appointed.html,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Jose_Manuel_Barroso%2C_EU-kommissionens_ordforande%2C_under_ett_mote_i_Folketinget_2006-05-19_%281%29.jpg/330px-Jose_Manuel_Barroso%2C_EU-kommissionens_ordforande%2C_under_ett_mote_i_Folketinget_2006-05-19_%281%29.jpg,,No authorisation required as 18 month authorisation and lobby ban has now ended,paid  ,,,8/7/2016,no,http://www.goldmansachs.com/media-relations/press-releases/current/jose-manuel-barroso-appointed.html,
59,José Manuel Barroso ,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Chairman of the UEFA Foundation for children ,NGOs,NGOs,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,,unpaid,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf
60,José Manuel Barroso ,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Member of Board of Advisors of Georgetown University’s McDonough School of Business (Washington) ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,,unpaid,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf
61,José Manuel Barroso ,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Member of Board of Trustees of Europaeum ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,,unpaid,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf
62,José Manuel Barroso ,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Member of Steering Group of the Bilderberg Conferences ,Private Sector,Companies and Groups,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,,unpaid,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf
63,José Manuel Barroso ,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Member of the Institute of Public Policy in Belgrade ,Academia,Think tanks,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,,unpaid,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf
