host	date	location	title	guestid	guestname	cabinet
Bernd Martenczuk	02/02/2015	Berlaymont, Brussels	Data protection reform	501468815548-71	Coalition of European Organisations on Data Protection	Cabinet members of First Vice-President Frans Timmermans
Bernardus Smulders	29/01/2015	Amcham	Better regulation and EU/US	5265780509-97	American Chamber of Commerce to the European Union	Cabinet members of First Vice-President Frans Timmermans
Michelle Sutton	27/01/2015	Brussels, Belgium	European Citizens' Initiative	564475415764-23	The ECI Campaign	Cabinet members of First Vice-President Frans Timmermans
Bernd Martenczuk Michelle Sutton	27/01/2015	Brussels, Belgium	European Citizens' Initiative	564475415764-23	The ECI Campaign	Cabinet members of First Vice-President Frans Timmermans
Michelle Sutton	27/01/2015	Berlaymont, Brussels, Belgium	CWP and better regulation	524976815651-12	Centre for European Reform	Cabinet members of First Vice-President Frans Timmermans
Alice Richard	21/01/2015	Berlaymont - Brussels	relations between the EU and European regions	86172696311-16	Île de France Europe	Cabinet members of First Vice-President Frans Timmermans
Antoine Colombani	21/01/2015	Brussels	Presentation of the activities of Le Cercle de l'Industrie; Better Regulation	60974102057-03	Le Cercle de l&#039;Industrie	Cabinet members of First Vice-President Frans Timmermans
Bernd Martenczuk	20/01/2015	Brussels, Belgium	Protection of fundamental rights	11063928073-34	Iverna McGowan, Director of Programes, Amnesty International 	Cabinet members of First Vice-President Frans Timmermans
Michelle Sutton	20/01/2015	Brussels, Belgium	Better Regulation, Transparency, Financial Services	37943526882-24	Finance Watch	Cabinet members of First Vice-President Frans Timmermans
Sara Nelen	15/01/2015	Berlaymont, Brussels	sustainable development and circular economy	13255254129-80	Vereniging VNO-NCW	Cabinet members of First Vice-President Frans Timmermans
Michelle Sutton	09/01/2015	Berlaymont - Brussels - Belgium	Transparency	8828523562-52	European Public Affairs Consultancies Association	Cabinet members of First Vice-President Frans Timmermans
Sara Nelen	12/12/2014	Berlaymont - Brussels	waste legislation	454264611835-56	PlasticsEurope Services SPRL	Cabinet members of First Vice-President Frans Timmermans
Michelle Sutton	10/12/2014	BERLAYMONT	Mandatory transparency register	2694372574-63	Alliance for Lobbying Transparency and Ethics Regulation	Cabinet members of First Vice-President Frans Timmermans
Michelle Sutton	09/12/2014	Brussels	Transparency initiative, AML Directive, Treatment of NGOs/ Rule of Law	unregistered	Transparency International (TI)	Cabinet members of First Vice-President Frans Timmermans
Sara Nelen	09/12/2014	Berlaymont - Brussels	waste management	1078390517-54	Kreab Gavin Anderson	Cabinet members of First Vice-President Frans Timmermans
Sara Nelen	03/12/2014	Berlaymont - Brussels	sustainable capital markets	86270761494-62	Aviva plc	Cabinet members of First Vice-President Frans Timmermans
Anna Vezyroglou	03/03/2015	Berlaymont, Brussels	Update on EU-Turkey relations	05241797002-90	Confederation of Businessmen and Industrialists of Turkiye	Cabinet members of High Representative/Vice-President Federica Mogherini
Iwona Piorko Bermig Fabrizia Panzetti	25/02/2015	Brussels	Transnistria disputed territories	97628146980-33	International Federation for Human Rights 	Cabinet members of High Representative/Vice-President Federica Mogherini
Arianna Vannini	25/02/2015	Berlaymont, Brussels	The Regional Finance and Investment - Conference for SouthEast Europe	unregistered	EUROMONEY	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi Anna Vezyroglou	23/02/2015	Berl Building Bruxelles	Relation with professional associations	79585606808-03	IKV, Fondation pour le Développement Economique	Cabinet members of High Representative/Vice-President Federica Mogherini
Arianna Vannini	18/02/2015	Berlaymont, Brussels	Energy Union	6256831207-27	ENEL SpA	Cabinet members of High Representative/Vice-President Federica Mogherini
Arianna Vannini	17/02/2015	Berlaymont, Brussels	The role of the retail sector in boosting growth and jobs in the EU	84973761187-60	EUROCOMMERCE	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi	10/02/2015	Berl buirlding in Brussels	Relation with professional associations	524976815651-12	Centre for European Reform	Cabinet members of High Representative/Vice-President Federica Mogherini
Michael Curtis	05/02/2015	Brussels	Presentation of organisation and work	883467515174-60	Crisis Action	Cabinet members of High Representative/Vice-President Federica Mogherini
Enrico Petrocelli Stefano Manservisi	05/02/2015	Berl Building Bruxelles	Relation with professional associations	944964416106-32	Euronews	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi	04/02/2015	berl building in Brussels	Relation with professional associations	163447715874-83	Center for Strategic and International Studies	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi Iwona Piorko Bermig	03/02/2015	Berl Building Brussels	Relations with professional associations	072745716136-48	Ukrainian Orthodox Church Kyiv Patriarchate	Cabinet members of High Representative/Vice-President Federica Mogherini
Arianna Vannini	02/02/2015	Berlaymont, Brussels	Industry competitiveness	165602115659-19	Assocalzaturifici	Cabinet members of High Representative/Vice-President Federica Mogherini
Arianna Vannini	02/02/2015	Berlaymont, Brussels	Industry competitiveness	unregistered	Federacciai (Federation of the Italian Steel Companies)	Cabinet members of High Representative/Vice-President Federica Mogherini
Arianna Vannini	28/01/2015	Berlaymont, Brussels	Energy Internal Market	937812815077-68	Terna SpA	Cabinet members of High Representative/Vice-President Federica Mogherini
Iwona Piorko Bermig	28/01/2015	Brussels	Meeting with Deputy Director of Ukraine Foundation, Ms Inna Pidluska	8557515321-37	Open Society European Policy Institute	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi	27/01/2015	Berl Building Bruxelles	Relation with professional associations	592343015058-67	European Union Chamber of Commerce in China	Cabinet members of High Representative/Vice-President Federica Mogherini
Michael Curtis	22/01/2015	Brussels	Situation in Libya and EU policy including sanctions	58746194306-23	FIPRA International Limited	Cabinet members of High Representative/Vice-President Federica Mogherini
Anna Vezyroglou	19/01/2015	Berlaymont, Brussels	Turkey local administration structure	198354815537-92	Association of Social Democratic Municipalities	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi	15/01/2015 (Cancelled)	Berl Building Bruxelles	Mr Jerzy Pomianowski	unregistered	European Endowment for Democracy Executive director	Cabinet members of High Representative/Vice-President Federica Mogherini
Anna Vezyroglou	14/01/2015	Berlaymont, Brussels	EU/Turkey relations	198354815537-92	Association of Social Democratic Municipalities	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi	14/01/2015	Berl Building Brussels	Relation with professional associations	unregistered	Union for the Mediterranean	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi	14/01/2015	BERL BUILDING BRUXELLES	réunion	unregistered	World Bank Group 	Cabinet members of High Representative/Vice-President Federica Mogherini
Arianna Vannini	12/01/2015	Brussels	The importance of the Juncker Investment plan for the energy sector	unregistered	EDISON	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi	08/01/2015 (Cancelled)	BERL BUILDING Bruxelles	Mr Ben Knapen	unregistered	European Investment Bank	Cabinet members of High Representative/Vice-President Federica Mogherini
Anna Vezyroglou	18/12/2014	Brussels, Belgium	EU/Turkey relations	05241797002-90	Confederation of Businessmen and Industrialists of Turkiye	Cabinet members of High Representative/Vice-President Federica Mogherini
Michael Curtis	11/12/2014	Brussels	International Crisis Group: Presentation of structures, work and relationship with the EU	72899131664-09	International Crisis Group	Cabinet members of High Representative/Vice-President Federica Mogherini
Michael Curtis	09/12/2014	Brussels	Commercial matter between a private Greek company and Libyan government; complaint about alleged failure to fulfill contract.	859810115235-49	Christos Folias and Co.	Cabinet members of High Representative/Vice-President Federica Mogherini
Iwona Piorko Bermig	09/12/2014	Brussels	EU Arctic Policy	9832909575-41	Greenpeace European Unit	Cabinet members of High Representative/Vice-President Federica Mogherini
Iwona Piorko Bermig	09/12/2014	Brussels	Meeting with Marek Siwiec from Friedrich-Ebert-Stiftung on Current situation in Ukraine	23777496702-86	Friedrich-Ebert-Stiftung 	Cabinet members of High Representative/Vice-President Federica Mogherini
Fabrizia Panzetti	09/12/2014	Brussels, Belgium	Fight against corruption	unregistered	Transparency International Liaison Office to the European Union	Cabinet members of High Representative/Vice-President Federica Mogherini
Enrico Petrocelli Arianna Vannini	09/12/2014	Brussels, Belgium	Product labeling	30978122100-27	Caobisco	Cabinet members of High Representative/Vice-President Federica Mogherini
Iwona Piorko Bermig	08/12/2014	Brussels	EU’s role in advancing concrete rights improvements	56362448807-46	Human Rights Watch	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi	03/12/2014	BERL11/176	Relation with professional associations	41572336784-71	Agenzia per la Globalizzazione delle Imprese e dei Territori	Cabinet members of High Representative/Vice-President Federica Mogherini
Anna Vezyroglou Stefano Manservisi	03/12/2014	BERL 11/176	Relations with Turkish professional associations	38870176589-43	tusiad	Cabinet members of High Representative/Vice-President Federica Mogherini
Anna Vezyroglou	03/12/2014	Brussels	EU-Turkey relations	38870176589-43	TUSIAD - Turkish Industry &amp; Business Association	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi Arianna Vannini	02/12/2014	BERL 11/176	Relations with professional associations	16094042309-21	LVMH Publica	Cabinet members of High Representative/Vice-President Federica Mogherini
Michael Curtis	01/12/2014	Brussels	External relations institutional questions 2014-2019	342534715247-56	Finnish Institute of International Affairs	Cabinet members of High Representative/Vice-President Federica Mogherini
Stefano Manservisi	01/12/2014	BERL 11/176	Relations with international Institutions	36682861898-97	Telecom Italia	Cabinet members of High Representative/Vice-President Federica Mogherini
Vice-President Kristalina Georgieva	17/02/2015	BERL	Meeting with Carl Dolan, Director of Transparency International, Brussels office	unregistered	Transparency International Brussels Liaison office	
Vice-President Kristalina Georgieva	27/01/2015	Brussels	Budgetary situation of EU external assistance; hot crises	66790095679-26	International Rescue Committee	
Vice-President Kristalina Georgieva	27/01/2015	Brussels	Budgetary situation of EU external assistance; hot crises	66790095679-26	International Rescue Committee	
Vice-President Kristalina Georgieva	16/01/2015	BERL	Meeting with Dr Elena Kirtcheva-Discussing eventual participation of VP Georgieva in Vienna Economic Forum	927885415117-52	Vienna Economic Forum	
Elisabeth Werner	09/03/2015	BERL	Meeting with Mr Haas, Federation of Austrian Industries, Brussels Office	89093924456-06	Vereinigung der österreichischen Industrie - Industriellenvereinigung	Cabinet members of Vice-President Kristalina Georgieva
Elisabeth Werner	04/03/2015	BERL	Meeting with ICAEW(The Institute of Chartered Accountants in England and Wales)	unregistered	The Institute of Chartered Accountants in England and Wales	Cabinet members of Vice-President Kristalina Georgieva
Mariana Hristcheva	27/02/2015	Cabinet Juncker	CISCO: general developments in digitalisation	494613715191-85	Cisco Systems Inc.	Cabinet members of Vice-President Kristalina Georgieva
Mariana Hristcheva	27/02/2015	Cabinet Juncker	CISCO: general developments in digitalisation	unregistered	Marc Colson	Cabinet members of Vice-President Kristalina Georgieva
Angelina Gros Tchorbadjiyska	23/01/2015	BERL	Participation of Vice-president Georgieva in : The European Serious & Organised Crime Conference 2015, Brussels	56188303384-93	British Chamber of Commerce	Cabinet members of Vice-President Kristalina Georgieva
Andreas Schwarz	19/01/2015	Brussels	EASA budget + Airbus priorities for 2015	2732167674-76	Airbus Group N.V.	Cabinet members of Vice-President Kristalina Georgieva
Vice-President Andrus Ansip	09/03/2015	Brussels	Digital Single Market, platforms	unregistered	European Digital Media Association (EDiMA)	
Vice-President Andrus Ansip	04/03/2015	Brussels	Industrial internet, big data use and analytics, connected vehicles, coordinated spectrum	3305029916-47	Scania AB (publ)	
Vice-President Andrus Ansip	03/03/2015	Barcelona	Digital Single Market, copyright	92442218459-37	AT&amp;T, Inc.	
Vice-President Andrus Ansip	03/03/2015	Barcelona	Digital Single Market, net neutrality, spectrum	02021363105-42	Ericsson	
Vice-President Andrus Ansip	02/03/2015	Barcelona	Digital Single Market	30988577529-37	GSMA Europe	
Vice-President Andrus Ansip	26/02/2015	Brussels	Digital Single Market	4456380381-30	European Publishers Council	
Vice-President Andrus Ansip	26/02/2015	Brussels	DSM strategy and Huawei European investments in R&D, broadband roll-out, development of 5G	114467111412-38	Huawei Technologies	
Vice-President Andrus Ansip	23/02/2015	Brussels	Digital Single Market, portability of content, standards and job creation through the app economy	588327811384-96	Apple Inc.	
